video_id,trending_date,views,likes,comment_count,previous_views,view_growth,view_growth_pct,view_velocity,engagement_rate,growth_score,engagement_score,trend_velocity_score,trend_status,velocity_percentile,engagement_percentile,emerging_trend_score,emerging_status,trend_alert,first_trending_date,days_since_first_trending,emerging_date,time_to_trend_days
dRbzWTnwKgU,2018-03-29,669133,3398,398,393879.0,275254.0,69.88288281426529,0.6988288281426529,0.5673012689554991,81.27946127946129,30.248161764705884,65.97007142503466,Hot,81.27946127946129,30.248161764705884,60.86694147355912,Emerging,True,2018-03-28,1,2018-03-29,1.0
dRbzWTnwKgU,2018-03-30,820639,3839,469,669133.0,151506.0,22.64213542001366,0.2264213542001366,0.5249567714914841,43.80777471686563,27.598039215686278,38.94485406651182,Normal,43.80777471686563,27.598039215686278,37.32388051639389,Normal,False,2018-03-28,2,2018-03-29,1.0
dRbzWTnwKgU,2018-03-31,873854,3966,482,820639.0,53215.0,6.484580918040697,0.06484580918040697,0.5090095141751367,10.878481787572698,26.632965686274513,15.604826957183242,Normal,10.878481787572698,26.632965686274513,17.180275347053424,Normal,False,2018-03-28,3,2018-03-29,1.0
dRl9Oj8ewh8,2018-03-11,195265,2648,115,,,,,1.4150001280311373,,57.04656862745098,,,,57.04656862745098,,,False,2018-03-11,0,2018-03-12,1.0
dRl9Oj8ewh8,2018-03-12,432374,3618,152,195265.0,237109.0,121.42933961539445,1.2142933961539446,0.8719303195844339,92.72115090296909,44.29227941176471,78.19248945560776,Hot,92.72115090296909,44.29227941176471,73.34960230648733,Emerging,True,2018-03-11,1,2018-03-12,1.0
dRl9Oj8ewh8,2018-03-13,551377,4112,181,432374.0,119003.0,27.523162817375695,0.27523162817375696,0.7785961329544033,50.639730639730644,41.001838235294116,47.74836291839968,Growing,50.639730639730644,41.001838235294116,46.78457367795603,Growing,False,2018-03-11,2,2018-03-12,1.0
dRl9Oj8ewh8,2018-03-14,674642,4512,201,551377.0,123265.0,22.355847269653975,0.22355847269653975,0.6985927351098805,43.33027242118151,37.607230392156865,41.613359812474116,Growing,43.33027242118151,37.607230392156865,41.04105560957165,Growing,False,2018-03-11,3,2018-03-12,1.0
dS7-fF8SmvI,2018-01-02,70451,643,32,,,,,0.9581127308341968,,46.99448529411765,,,,46.99448529411765,,,False,2018-01-02,0,2018-01-03,1.0
dS7-fF8SmvI,2018-01-03,132050,1075,49,70451.0,61599.0,87.43523867652695,0.8743523867652695,0.8511927300265052,87.00948882767065,43.587622549019606,73.98292894407533,Hot,87.00948882767065,43.587622549019606,69.64074231621024,Emerging,True,2018-01-02,1,2018-01-03,1.0
dSDcvcScZok,2017-12-09,91735,1347,54,,,,,1.527225159426609,,58.866421568627445,,,,58.866421568627445,,,False,2017-12-09,0,2017-12-10,1.0
dSDcvcScZok,2017-12-10,148767,1929,82,91735.0,57032.0,62.17038207881398,0.6217038207881398,1.3517782841624824,77.86348331802877,56.029411764705884,71.3132618520319,Hot,77.86348331802877,56.029411764705884,69.12985469669962,Emerging,True,2017-12-09,1,2017-12-10,1.0
dSDcvcScZok,2017-12-11,172489,2130,87,148767.0,23722.0,15.94574065484953,0.1594574065484953,1.2852993524224734,31.46005509641873,54.85906862745098,38.4797591557284,Normal,31.46005509641873,54.85906862745098,40.81966050883163,Growing,False,2017-12-09,2,2017-12-10,1.0
dSkb7O1-EaE,2018-04-29,368874,37330,2689,,,,,10.848961976176147,,96.97610294117646,,,,96.97610294117646,,,False,2018-04-29,0,2018-04-30,1.0
dSkb7O1-EaE,2018-04-30,548709,45309,3069,368874.0,179835.0,48.752419525366385,0.48752419525366386,8.816695188159844,70.06427915518825,94.53125,77.40437040863176,Hot,70.06427915518825,94.53125,79.85106749311294,Emerging,True,2018-04-29,1,2018-04-30,1.0
dSkb7O1-EaE,2018-05-01,587186,46965,3104,548709.0,38477.0,7.012277910513587,0.07012277910513587,8.526940356207403,11.900826446280991,94.08700980392157,36.55668145357316,Normal,11.900826446280991,94.08700980392157,44.775299789337225,Growing,False,2018-04-29,2,2018-04-30,1.0
dSkb7O1-EaE,2018-05-02,619206,48325,3150,587186.0,32020.0,5.45312728845715,0.0545312728845715,8.313065441872332,8.601163146617692,93.72549019607843,34.13846126145591,Normal,8.601163146617692,93.72549019607843,42.65089396640199,Growing,False,2018-04-29,3,2018-04-30,1.0
dT5ALH3ICTc,2018-03-19,2790741,83509,8290,,,,,3.289413098528312,,76.06924019607844,,,,76.06924019607844,,,False,2018-03-19,0,2018-03-20,1.0
dT5ALH3ICTc,2018-03-20,4749671,116435,11521,2790741.0,1958930.0,70.19390190633958,0.7019390190633957,2.6939971210637537,81.38965411692685,71.84436274509804,78.5260667053782,Hot,81.38965411692685,71.84436274509804,77.57153756819532,Emerging,True,2018-03-19,1,2018-03-20,1.0
dU7BhlfWFEw,2018-06-02,140606,2353,154,,,,,1.7829964581881286,,62.44791666666667,,,,62.44791666666667,,,False,2018-06-02,0,2018-06-03,1.0
dU7BhlfWFEw,2018-06-03,573431,6517,381,140606.0,432825.0,307.82825768459384,3.0782825768459383,1.2029346163705834,99.1796755433119,53.16482843137255,85.37522140973009,Viral,99.1796755433119,53.16482843137255,80.77373669853615,Hot,True,2018-06-02,1,2018-06-03,1.0
dUBRMK7c2bg,2017-12-25,342533,3641,251,,,,,1.1362408877392836,,51.64828431372549,,,,51.64828431372549,,,False,2017-12-25,0,2017-12-26,1.0
dUBRMK7c2bg,2017-12-26,788061,6217,526,342533.0,445528.0,130.0686357226895,1.300686357226895,0.8556444234646811,93.62105907560453,43.731617647058826,78.65422664704083,Hot,93.62105907560453,43.731617647058826,73.66528250418625,Emerging,True,2017-12-25,1,2017-12-26,1.0
dUNeStFgxWs,2018-06-09,193960,6538,879,,,,,3.8239843266652915,,79.22487745098039,,,,79.22487745098039,,,False,2018-06-09,0,2018-06-10,1.0
dUNeStFgxWs,2018-06-09,193960,6539,879,193960.0,0.0,0.0,0.0,3.8244998968859556,1.144781144781145,79.23100490196079,24.57064827193504,Normal,1.144781144781145,79.23100490196079,32.379270647653,Normal,False,2018-06-09,0,2018-06-10,1.0
dUNeStFgxWs,2018-06-10,1334916,16298,1818,193960.0,1140956.0,588.2429366879769,5.882429366879769,1.3570891351965217,99.88368533823079,56.13664215686275,86.75957238382037,Viral,99.88368533823079,56.13664215686275,82.38486806568358,Hot,True,2018-06-09,1,2018-06-10,1.0
dUNeStFgxWs,2018-06-11,1424157,17022,1901,1334916.0,89241.0,6.685139739129653,0.06685139739129653,1.3287158648941093,11.30700948882767,55.625,24.602406642179368,Normal,11.30700948882767,55.625,29.034205693296602,Normal,False,2018-06-09,2,2018-06-10,1.0
dUNeStFgxWs,2018-06-11,1424157,17026,1901,1424157.0,0.0,0.0,0.0,1.3289967328040377,1.144781144781145,55.634191176470594,17.49160415428798,Normal,1.144781144781145,55.634191176470594,22.940545157456928,Normal,False,2018-06-09,2,2018-06-10,1.0
dUNeStFgxWs,2018-06-12,1785833,19026,2095,1424157.0,361676.0,25.395795547822324,0.25395795547822325,1.1826973742785578,48.007346189164366,52.75428921568628,49.43142909712094,Growing,48.007346189164366,52.75428921568628,49.906123399773136,Growing,False,2018-06-09,3,2018-06-10,1.0
dUNeStFgxWs,2018-06-13,2116110,20380,2233,1785833.0,330277.0,18.494282500099395,0.18494282500099396,1.0686117451361226,36.53504744413835,50.036764705882355,40.58556262266155,Growing,36.53504744413835,50.036764705882355,41.93573434883595,Growing,False,2018-06-09,4,2018-06-10,1.0
dUjNMfpbxV0,2018-05-06,50830,1775,184,,,,,3.8540232146370257,,79.41176470588235,,,,79.41176470588235,,,False,2018-05-06,0,2018-05-07,1.0
dUjNMfpbxV0,2018-05-07,87854,2472,218,50830.0,37024.0,72.83887468030692,0.7283887468030692,3.061898149202085,82.57116620752984,74.51899509803923,80.15551487468265,Viral,82.57116620752984,74.51899509803923,79.3502977637336,Emerging,True,2018-05-06,1,2018-05-07,1.0
dVC8ABg92fk,2017-12-01,191526,3110,370,,,,,1.8169856834059084,,62.91360294117647,,,,62.91360294117647,,,False,2017-12-01,0,2017-12-02,1.0
