video_id,trending_date,views,view_growth,view_growth_pct,view_velocity,engagement_rate,emerging_trend_score,emerging_status,trend_alert
C_2ZH7K2sL0,2018-06-01,1247848,155636.0,14.249614543696646,0.14249614543696645,0.766359364281547,32.94905944471452,Normal,False
HRozbQXwQ1o,2017-12-11,556805,111061.0,24.915870993215837,0.24915870993215836,0.27819434092725465,32.948208691189976,Normal,False
XI8vaIASFmE,2018-03-30,1166132,80873.0,7.451953865390657,0.07451953865390658,1.8311820617220007,32.946348511856534,Normal,False
NqLO0KwkRNg,2017-11-22,109003,8333.0,8.277540478792094,0.08277540478792095,1.6283955487463648,32.94046413331173,Normal,False
PNJnAozldOE,2018-03-06,49252,10046.0,25.623629036371987,0.25623629036371987,0.2517664257289044,32.93782747258683,Normal,False
IlSvgZV5hV4,2018-01-19,189405,17817.0,10.383593258269809,0.10383593258269809,1.2021857923497268,32.929225409171934,Normal,False
gpzqbOauL7Q,2017-12-26,683989,106263.0,18.393321401494827,0.18393321401494828,0.528517271476588,32.92727407767514,Normal,False
s4A2Tz-yYBI,2018-05-03,1970608,153892.0,8.470889230897951,0.08470889230897952,1.573879736609209,32.92671028466483,Normal,False
uBYzYji4rmE,2018-05-16,1716909,0.0,0.0,0.0,4.092703806666515,32.92338829471183,Normal,False
1FJD7jZqZEk,2018-04-22,11326260,865434.0,8.273094304407703,0.08273094304407703,1.6251348635825065,32.91718319559229,Normal,False
QdFnPaYjxIw,2018-04-28,88418,0.0,0.0,0.0,4.087403017485128,32.91235888294712,Normal,False
hK75gURF_cE,2018-01-05,546610,25181.0,4.82922890748309,0.0482922890748309,2.603867474067434,32.907652730513696,Normal,False
rRr1qiJRsXk,2018-04-30,41978366,2770892.0,7.067254574982311,0.07067254574982311,1.9244936784819113,32.90267649759629,Normal,False
DYZoD-0vJGQ,2018-05-10,180470,30105.0,20.021281548232633,0.20021281548232633,0.4571396908073364,32.901164046885974,Normal,False
ekvi8tVYem0,2018-06-11,5490160,26685.0,0.4884254069067764,0.004884254069067764,3.6812588339866235,32.899320747582784,Normal,False
PuYwzl9i71k,2018-02-18,80133,11658.0,17.025191675794087,0.17025191675794088,0.5915166036464378,32.88949656997785,Normal,False
uheBhLyCEUg,2017-11-28,989908,120689.0,13.884763218475435,0.13884763218475435,0.794013181022883,32.88700845351915,Normal,False
kjSX2qC_znk,2018-04-01,6342691,528077.0,9.081892624342734,0.09081892624342734,1.435147952186225,32.88548249878464,Normal,False
7XrF2bn7LgU,2018-01-03,1324966,128731.0,10.761347059733247,0.10761347059733246,1.1448595662077365,32.87120199319397,Normal,False
gjX4aO458rQ,2018-06-11,1294241,28751.0,2.271926289421489,0.02271926289421489,3.3873134910731464,32.87056055204451,Normal,False
05KG0F86lJc,2018-03-18,2079090,385821.0,22.785570396670582,0.22785570396670582,0.3497203103280762,32.87032423162102,Normal,False
C6EiYnpcOPg,2018-03-20,771003,161938.0,26.587966801572904,0.26587966801572904,0.21906529546577638,32.86364986766056,Normal,False
7MaV42Z3UnM,2017-12-30,277485,39333.0,16.515922604051195,0.16515922604051195,0.6162495270014595,32.85944674012856,Normal,False
V4WQpAhBSb8,2018-01-20,401160,51018.0,14.570659903696214,0.14570659903696215,0.7311297238009772,32.857961297466645,Normal,False
BN2oPaMm5d4,2017-12-30,45387,8517.0,23.10008136696501,0.2310008136696501,0.33710093198492963,32.8553347647599,Normal,False
SI4MKw2imOM,2018-04-29,734122,152499.0,26.219561468511387,0.2621956146851139,0.2293896654779451,32.84919718576136,Normal,False
UUQkl9WwrDQ,2017-12-26,1202255,141113.0,13.29822021934859,0.1329822021934859,0.8427496662521677,32.84724247825852,Normal,False
4VL9VPnSfcY,2017-12-20,598461,42422.0,7.629320964896347,0.07629320964896347,1.7685362955982096,32.83829943823259,Normal,False
LIBhZDNuSww,2018-02-16,177842,26666.0,17.639043234375826,0.17639043234375826,0.5600476827745977,32.83127396964295,Normal,False
ZASCWH7oVPM,2017-11-19,81388,11028.0,15.673678226264922,0.15673678226264923,0.6634884749594535,32.828536028736565,Normal,False
zUZ1z7FwLc8,2017-11-16,2180397,500222.0,29.772017795765322,0.2977201779576532,0.0910843300554899,32.82599727218712,Normal,False
UaZ_ZMwXbtI,2018-03-13,756247,18185.0,2.4638851478602066,0.024638851478602068,3.3178313434631805,32.82508237454761,Normal,False
SairuI4B1Hk,2018-03-29,385631,60091.0,18.458868341832034,0.18458868341832033,0.5214829720639679,32.82426538108356,Normal,False
yFFL1we4j_Y,2018-02-28,4184512,0.0,0.0,0.0,4.046684535735589,32.82044711824123,Normal,False
tkPM0nuPFFk,2017-11-19,77701,18085.0,30.33581588835212,0.3033581588835212,0.007721908340947993,32.819484956517044,Normal,False
0931w5v1WHc,2017-12-30,594470,24452.0,4.289689097537271,0.042896890975372706,2.80081417060575,32.81516704477934,Normal,False
4gDYt1XPkkE,2018-02-27,994736,54528.0,5.799567755220122,0.05799567755220122,2.290054848723681,32.81228393561281,Normal,False
cGXpqe--BYU,2017-11-25,387962,29164.0,8.128250436178575,0.08128250436178576,1.6377892680210948,32.804603521849515,Normal,False
MG9_daxKLlc,2017-12-02,985852,42770.0,4.535130561287354,0.04535130561287354,2.6799154436974315,32.80259142224383,Normal,False
Ge_Fb1qQQ2s,2018-03-08,808702,173412.0,27.296510255159063,0.2729651025515906,0.1950038456687383,32.79943148058121,Normal,False
nLHC3pGgwj4,2018-04-21,493671,98.0,0.019855218984831016,0.00019855218984831017,3.705909401200395,32.79530600118836,Normal,False
TGav04cuoBI,2018-05-17,1461519,128956.0,9.677291054906972,0.09677291054906972,1.3120595763722538,32.79288540485065,Normal,False
xL-fV3MWEmg,2018-02-27,422760,78785.0,22.90428083436296,0.2290428083436296,0.3408553316302394,32.79053570463998,Normal,False
Dzo_A2j64mY,2018-05-28,216259,26390.0,13.899056718052973,0.13899056718052974,0.7842448175567259,32.78649124939232,Normal,False
LPggspG0R8Y,2018-01-25,151139,31422.0,26.24689893665895,0.2624689893665895,0.2256201245211362,32.7842191973208,Normal,False
D6zROcdkZw8,2017-11-29,1522819,150681.0,10.981475624171914,0.10981475624171914,1.09783237535124,32.78019499810944,Normal,False
59B8UR6l824,2018-02-03,738461,106068.0,16.772481668835677,0.1677248166883568,0.5997608539922894,32.779489412845024,Normal,False
8xUwwOmCSqs,2018-05-21,7475373,873429.0,13.229875927454096,0.13229875927454096,0.8434896827221866,32.771339734240804,Normal,False
KNDpPx3nbK0,2018-02-14,522012,44655.0,9.354633953204834,0.09354633953204834,1.3664436832869742,32.77121144601091,Normal,False
Wj34yfjN0OA,2017-12-25,2433803,187419.0,8.34314168904337,0.0834314168904337,1.5782296266378175,32.75654607573057,Normal,False
cyPyIj08drw,2018-05-05,5975148,272994.0,4.787559227618194,0.04787559227618195,2.5799193593196352,32.75453735213094,Normal,False
hpEjxsHT0Zo,2018-04-16,1229691,184170.0,17.615141159288047,0.17615141159288047,0.5580263659732404,32.75042875276832,Normal,False
UUkn-enk2RU,2018-05-02,7857491,0.0,0.0,0.0,4.0142330420741175,32.74814319667261,Normal,False
naW9U8MiUY0,2018-06-13,20030814,1023478.0,5.384647275136295,0.05384647275136295,2.3831982065232094,32.74775157997084,Normal,False
E-bQHrXqWgA,2018-02-08,947649,135329.0,16.65956765806579,0.16659567658065788,0.6034934875676543,32.74530059957868,Normal,False
sAryTcpxfXI,2017-12-26,235577,50966.0,27.60723900525971,0.2760723900525971,0.18083259401384685,32.74528034354237,Normal,False
D4uWz6rm0RQ,2018-04-16,1915151,126826.0,7.091887660240729,0.07091887660240728,1.8796429106634414,32.73597944687517,Normal,False
uLVck0MVPlk,2018-01-09,797615,125544.0,18.68016920831281,0.1868016920831281,0.5063846592654351,32.727208583157775,Normal,False
u9Mv98Gr5pY,2018-04-29,51436997,2251710.0,4.578015372767877,0.04578015372767877,2.6482941840481082,32.714325744071736,Normal,False
fuoCUfdqZFI,2018-03-14,5267622,471050.0,9.820555179824257,0.09820555179824257,1.2667955293679007,32.71057162534435,Normal,False
3dwQK7XUfgg,2018-03-14,1529427,160876.0,11.755206784401896,0.11755206784401896,0.99331318199561,32.70571692864473,Normal,False
DSLGz3UwAa0,2018-01-24,1324761,289107.0,27.915404179388098,0.279154041793881,0.16825676480512333,32.689950980392155,Normal,False
izmxrxel00A,2018-03-22,625377,86912.0,16.140696238381324,0.16140696238381325,0.6282610329449276,32.68336776859505,Normal,False
OVKjMIwPqaM,2017-12-17,1724928,398654.0,30.05819310338588,0.3005819310338588,0.022377745621846246,32.68119362069896,Normal,False
